Pixel Index,ANOVA Score,p-value,Status,Rank
1503,30.593936969499122,5.51983935818013e-36,Kept,1.0
1455,30.098784532511967,2.1967222680336989e-35,Kept,2.0
1454,29.010692645558578,4.5799783754439326e-34,Kept,3.0
1407,28.997301605585495,4.75450197745546e-34,Kept,4.0
1501,28.48879411055153,1.9678569236614775e-33,Kept,5.0
1551,28.487381072439376,1.9756412568576217e-33,Kept,6.0
1502,28.408179892970242,2.464979110977848e-33,Kept,7.0
1504,28.209419971303877,4.295580162599395e-33,Kept,8.0
1550,28.138872839895647,5.231723712824193e-33,Kept,9.0
1259,28.125177717697934,5.435845618061616e-33,Kept,10.0
1408,28.02634097192315,7.165302974541765e-33,Kept,11.0
1549,27.885782880755045,1.0613515389272122e-32,Kept,12.0
1212,27.839764336696923,1.2070510967633023e-32,Kept,13.0
1598,27.814877319262973,1.2940148781414128e-32,Kept,14.0
1452,27.616572365377852,2.252726595888291e-32,Kept,15.0
1453,27.593554520368116,2.4024683012392637e-32,Kept,16.0
1597,27.517213042534355,2.9741168906772146e-32,Kept,17.0
1548,27.504244335320728,3.083942594070667e-32,Kept,18.0
1456,27.495119111902284,3.1636423738670803e-32,Kept,19.0
1500,27.455781437471867,3.531485802566788e-32,Kept,20.0
1404,27.379102729262137,4.3759975480842747e-32,Kept,21.0
1260,27.308263391034032,5.334700498575488e-32,Kept,22.0
1360,27.139256344358362,8.558232925354176e-32,Kept,23.0
1402,27.124979454542117,8.906884660957172e-32,Kept,24.0
1356,27.118299946022795,9.07484670153807e-32,Kept,25.0
1405,27.077962080670368,1.0158691295160146e-31,Kept,26.0
1355,26.801142637920556,2.203583788718057e-31,Kept,27.0
1308,26.69312290095051,2.981086620294425e-31,Kept,28.0
1354,26.668593496780304,3.192856943761905e-31,Kept,29.0
1406,26.620850970591572,3.6491464947992496e-31,Kept,30.0
1552,26.565898750439327,4.2556512318695685e-31,Kept,31.0
1211,26.562483438369274,4.296513702439402e-31,Kept,32.0
1258,26.53912177469943,4.586746905004207e-31,Kept,33.0
1403,26.5231676192086,4.796143604740058e-31,Kept,34.0
1359,26.41238207081234,6.5391919215273176e-31,Kept,35.0
1596,26.398046011527335,6.806858185887009e-31,Kept,36.0
1646,26.29940249166264,8.970834712220653e-31,Kept,37.0
1645,26.213417326453506,1.1411461658697689e-30,Kept,38.0
1450,26.127101525056545,1.4529733686562002e-30,Kept,39.0
1307,26.06263700985742,1.7402749388484404e-30,Kept,40.0
1306,26.01934736293807,1.9644488617747093e-30,Kept,41.0
1164,25.932621049701215,2.504203895236837e-30,Kept,42.0
1451,25.814780164171612,3.48283331127221e-30,Kept,43.0
1213,25.546461217098383,7.382053371757212e-30,Kept,44.0
744,25.365515304034194,1.2252289966079583e-29,Kept,45.0
1401,25.34108529470956,1.311980451916123e-29,Kept,46.0
1644,25.256940734784912,1.6605867454518388e-29,Kept,47.0
1693,25.20034760722757,1.945769661305927e-29,Kept,48.0
1163,25.169854433615733,2.1192338942113226e-29,Kept,49.0
