Model,Accuracy,Precision (Macro),Recall (Macro),F1-Score (Macro)
Random Forest,0.313,0.24513422594052003,0.22529516997993257,0.20326017326019002
Gaussian SVM,0.311,0.2397816129253419,0.23922147661234736,0.23162126356650742
Bagging,0.295,0.21866050041003615,0.21191249916343885,0.18724428399417303
Linear SVM,0.28,0.1986025936755864,0.2003659090767233,0.1795424713157845
kNN,0.268,0.21302005259251347,0.21482321877228516,0.21081961565237783
Logistic Regression,0.266,0.19018241107235698,0.1970681272390935,0.18062573873574617
Decision Tree,0.26,0.1966391739540887,0.20101844753182685,0.19153233600057967
KDE Naive Bayes,0.259,0.23047123740200265,0.22739750815776047,0.22690972745528243
AdaBoost,0.258,0.19081440966195581,0.19492972642625078,0.1871700808389218
Linear Discriminant,0.231,0.1625501899863652,0.17348879492813443,0.16329902042435468
Gaussian Naive Bayes,0.174,0.18394029055816422,0.17940201503206593,0.12898765628150316
